G_loss,D_loss
1.3818176984786987,1.064867615699768
1.9490703344345093,0.7364860773086548
1.6127849817276,0.6746581196784973
2.886654853820801,0.5935306549072266
2.236464262008667,0.538745641708374
1.7769056558609009,0.5522434115409851
1.5634220838546753,0.4643000364303589
2.8628196716308594,0.4386553168296814
2.5210514068603516,0.7875653505325317
2.0418946743011475,0.49535462260246277
2.405954122543335,0.5724380016326904
2.283233642578125,0.417489230632782
2.7724781036376953,0.6541833281517029
2.0103836059570312,0.4758421778678894
2.4857757091522217,0.9311785697937012
2.6574034690856934,0.4317941665649414
1.8885468244552612,0.6040797829627991
1.3191852569580078,0.8709742426872253
1.38261079788208,1.2381103038787842
2.3719332218170166,0.49115732312202454
0.8750465512275696,0.9349684715270996
3.72624135017395,0.2983993589878082
2.9440853595733643,1.194563627243042
1.6529549360275269,0.5128118991851807
3.3161721229553223,0.3655155301094055
