G_loss,D_loss
0.9149159789085388,1.6674790382385254
1.0862106084823608,1.4956200122833252
0.9256256222724915,1.4221079349517822
0.8810197710990906,1.3556649684906006
0.7913318872451782,1.4100968837738037
1.001343846321106,1.472120761871338
0.8433117270469666,1.4239954948425293
0.8777700662612915,1.3364688158035278
0.8318250775337219,1.4031343460083008
0.8642013669013977,1.4030556678771973
0.8014968037605286,1.368546962738037
0.913897693157196,1.3950393199920654
0.9737595915794373,1.3273282051086426
0.9915251135826111,1.1896724700927734
0.886193573474884,1.4251676797866821
